district_code,taluk_code,village_code,district_lgd_code,taluk_lgd_code,village_lgd_code,district_name_en,district_name_ta,taluk_name_en,taluk_name_ta,village_name_en,village_name_ta
11,3,20,587,5757,931946,The Nilgiris,நீலகிரி,Kotagiri,கோத்தகிர,Jagathala-Ii,ஜகதளா - 2
11,3,21,587,5757,931967,The Nilgiris,நீலகிரி,Kotagiri,கோத்தகிர,Konavakorai -2,கொணவக்கரை - 2
11,3,22,587,5757,931975,The Nilgiris,நீலகிரி,Kotagiri,கோத்தகிர,Nedugula-Ii,நெடுகுளா - 2
11,3,23,587,5757,931974,The Nilgiris,நீலகிரி,Kotagiri,கோத்தகிர,Nadhuhatty-2,நடுஹட்டி -2
11,4,1,587,5755,932079,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Cherumulli 1,செறுமுள்ளி 1
11,4,2,587,5755,635086,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Sreemadurai,ஸ்ரீமதுரை
11,4,3,587,5755,635085,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Mudumalai,முதுமலை
11,4,4,587,5755,635084,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Nellakotta,நெலாகோட்டை
11,4,5,587,5755,932081,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Devala 1,தேவாலா 1
11,4,6,587,5755,932084,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Gudalur 1,கூடலூர் 1
11,4,7,587,5755,932085,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Padanthorai 1,பாடந்தொரை 1
11,4,9,587,5755,932087,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Cherumulli 2,செறுமுள்ளி 2
11,4,10,587,5755,932090,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Padanthorai 2,பாடந்தொரை 2
11,4,11,587,5755,932092,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Gudalur 2,கூடலூர் 2
11,4,12,587,5755,932093,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Devala 2,தேவாலா 2
11,4,13,587,5755,932095,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Gudalur - 2 Gr,கூடலூர் - 2 ஜி.ஆர்.
11,4,14,587,5755,932097,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Gudalur 1- Ca,கூடலூர் 1 - சி.ஏ
11,4,15,587,5755,932099,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Gudalur 2 - Ca,கூடலூர் 2 - சிஏ
11,4,16,587,5755,932101,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Devala 1 - Ca,தேவாலா 1 - சி.ஏ
11,4,17,587,5755,932102,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Devala 2 - Ca,தேவாலா 2 - சிஏ
11,4,18,587,5755,932104,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Padanthorai 1 -Ca,பாடந்தொரை 1 - சி.ஏ
11,4,19,587,5755,932105,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Padanthorai 2 - Ca,பாடந்தொரை 2 - சிஏ
11,4,20,587,5755,932106,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Cherumulli 2 Ca,செறுமுள்ளி 2 சி.ஏ
11,4,21,587,5755,932108,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Sreemadurai - Ca,ஸ்ரீமதுரை - சி.ஏ
11,4,22,587,5755,932110,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Gudalur 1 - Gr,கூடலூர் 1 ஜிஆர்
11,4,23,587,5755,932112,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Ovalley 1,ஒவேலி 1
11,4,24,587,5755,932113,The Nilgiris,நீலகிரி,Gudalur,கூடலூர்,Ovalley 2,ஒவேலி 2
