village_lgd_code,district_lgd_code,taluk_lgd_code,village_name_en,elevation_mean_m,elevation_min_m,elevation_max_m,slope_mean_deg,slope_max_deg,rainfall_7d_p95_mm,rainfall_3d_p95_mm,rainfall_1d_max_mm,rainfall_annual_mean_mm,elevation_range_m,conditional_strict_linked_event_count,experimental_hazard_index_0_100,taluk_name_en,label_s,pu_status,terrain_feature_source,rainfall_feature_source,event_evidence_source,boundary_source
635092,587,5756,Thuneri,1956.8888199400144,1704.0,2384.0,16.38849918184268,50.24973638900375,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,680.0,4,40.27958680586523,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635093,587,5756,Hullathy,1887.551768627029,935.0,2323.0,16.26241332396422,59.77550384446742,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,1388.0,4,39.56964645393898,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635094,587,5756,Nanjand1,2206.6053549089133,1694.0,2574.0,13.820478283019677,75.01516421595615,116.15345704555511,58.03638969361782,155.74169921875,1734.4247455224395,880.0,35,52.75045235561984,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635095,587,5756,Udhagai - Rural,2248.827619193388,2005.0,2634.0,14.461524077496495,53.658645056787016,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,629.0,2,38.24144123601565,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635096,587,5756,Thummanatty 1,2160.7532083755486,1917.0,2491.0,16.878805574211366,57.00450002220994,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,574.0,10,47.68708286702416,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635097,587,5757,Hallimoyar,685.2125576036866,291.0,1873.0,18.995670305993222,79.58956679007406,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,1582.0,0,14.103409668676406,Kotagiri,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635098,587,5757,Kallampalayam,311.1825842696629,301.0,322.0,2.8423123158924413,10.1521084505481,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,21.0,0,0.0,Kotagiri,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635099,587,5757,Kodanad,1776.6664168332222,1153.0,2079.0,19.27806282825781,73.1617380801026,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,926.0,2,31.45073678413644,Kotagiri,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635100,587,5757,Nedugula-I,1857.393796289128,1380.0,2098.0,16.71201137212214,58.183986928643066,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,718.0,3,38.11259755042594,Kotagiri,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635101,587,5757,Denad-I,1757.251668617341,1160.0,2124.0,16.490544083230045,61.15165954154308,96.92115503549576,47.425384908914566,111.22907257080078,1267.035819894448,964.0,2,29.424565145526177,Kotagiri,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
