village_lgd_code,district_lgd_code,taluk_lgd_code,village_name_en,elevation_mean_m,slope_mean_deg,historical_rainfall_7d_p95_mm,conditional_strict_linked_event_count,elevation_mean_minmax,slope_mean_minmax,terrain_component,rainfall_7d_p95_minmax,conditional_event_evidence_minmax,experimental_hazard_index_0_100,rainfall_feature_source,terrain_feature_source,event_evidence_source,event_evidence_qualification,index_method_version
635092,587,5756,Thuneri,1956.8888199400144,16.38849918184268,121.25839281082153,4,0.8493331884883314,0.5139569577493669,0.6816450731188491,0.14310934412889392,0.4279054192619903,40.27958680586523,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635093,587,5756,Hullathy,1887.551768627029,16.26241332396422,121.25839281082153,4,0.8135490019818927,0.5091731241457335,0.6613610630638131,0.14310934412889392,0.4279054192619903,39.56964645393898,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635094,587,5756,Nanjand1,2206.6053549089133,13.820478283019677,116.15345704555511,35,0.9782094947611824,0.4165234717317296,0.697366483246456,0.11309098231101786,0.9527594459821268,52.750452355619835,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635095,587,5756,Udhagai - Rural,2248.827619193388,14.461524077496495,121.25839281082153,2,1.0,0.440845441417198,0.720422720708599,0.14310934412889392,0.29209088984235726,38.24144123601565,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635096,587,5756,Thummanatty 1,2160.7532083755486,16.878805574211366,121.25839281082153,10,0.9545456421427022,0.5325597117406246,0.7435526769416634,0.14310934412889392,0.6375346163564075,47.68708286702416,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635097,587,5757,Hallimoyar,685.2125576036866,18.995670305993222,96.92115503549576,0,0.19303327833147071,0.6128758455928953,0.40295456196218304,0.0,0.0,14.103409668676406,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635098,587,5757,Kallampalayam,311.1825842696629,2.8423123158924413,96.92115503549576,0,0.0,0.0,0.0,0.0,0.0,0.0,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635099,587,5757,Kodanad,1776.6664168332222,19.27806282825781,96.92115503549576,2,0.7563221364852556,0.6235901228334594,0.6899561296593575,0.0,0.29209088984235726,31.450736784136442,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635100,587,5757,Nedugula-I,1857.393796289128,16.71201137212214,121.25839281082153,3,0.7979847619924522,0.5262313595981121,0.6621080607952821,0.14310934412889392,0.36857766629741234,38.11259755042594,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
635101,587,5757,Denad-I,1757.251668617341,16.490544083230045,96.92115503549576,2,0.7463023713239626,0.5178286515027372,0.6320655114133499,0.0,0.29209088984235726,29.424565145526177,"data/processed/village_time_features.csv; 2017, 2019, 2022, 2023, 2024 IMD rainfall_7d_mm",data/processed/terrain_features_villages.csv,data/processed/event_village_linkage.csv,conditional strict-containment count; not a validated positive label or absence-based negative,phase_8_experimental_v1
